2019-06-25 16:32:39 [restartedMain] INFO  c.rest.java.HospitalTestApplication - Starting HospitalTestApplication on ShaikR-PC-190 with PID 1904 (D:\practice\myworkspace\hospital-test-application\target\classes started by Shaik in D:\practice\myworkspace\hospital-test-application)
2019-06-25 16:32:39 [restartedMain] DEBUG c.rest.java.HospitalTestApplication - Running with Spring Boot v1.5.20.RELEASE, Spring v4.3.23.RELEASE
2019-06-25 16:32:39 [restartedMain] INFO  c.rest.java.HospitalTestApplication - The following profiles are active: dev
2019-06-25 16:32:44 [restartedMain] INFO  c.rest.java.HospitalTestApplication - Started HospitalTestApplication in 5.514 seconds (JVM running for 11.732)
2019-06-25 16:32:44 [restartedMain] DEBUG c.rest.java.HospitalTestApplication - application started...
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] DEBUG c.r.j.s.impl.HospitalServiceImpl - ListofAllHosptials called
2019-06-25 16:32:59 [http-nio-8088-exec-1] INFO  com.rest.java.entity.Hospital - Get api is callled for LoadAll Hospitals
